Cluster Index	Voxels	P	-log10(P)	Z-MAX	Z-MAX X (vox)	Z-MAX Y (vox)	Z-MAX Z (vox)	Z-COG X (vox)	Z-COG Y (vox)	Z-COG Z (vox)	COPE-MAX	COPE-MAX X (vox)	COPE-MAX Y (vox)	COPE-MAX Z (vox)	COPE-MEAN
16	202	8.18e-28	27.1	6.12	17	10	17	17.2	12	14.2	791	14	12	14	327
15	111	2.99e-18	17.5	7.06	45	14	13	45.1	13.1	13.2	607	45	14	13	318
14	28	1.55e-06	5.81	4.89	23	21	25	21.9	18.3	25.7	406	23	21	25	282
13	23	1.39e-05	4.86	4.97	14	27	21	14.4	27.3	22.3	573	13	28	20	339
12	19	9.14e-05	4.04	4.29	50	32	25	48.3	33.9	23.8	567	48	35	23	372
11	17	0.000246	3.61	4.76	39	14	12	39.2	16	12.9	407	40	14	12	270
10	17	0.000246	3.61	3.92	50	20	19	50.5	19.3	19.7	340	52	20	20	250
9	16	0.000409	3.39	5.15	41	9	11	41.2	8.59	11.2	598	42	8	11	345
8	15	0.000687	3.16	4.71	20	5	19	20.3	6.9	20	411	21	5	19	306
7	14	0.00117	2.93	4.02	23	13	29	25	13.1	29.4	546	27	13	30	412
6	12	0.00352	2.45	4.92	16	34	19	16.2	35	18.9	426	16	35	19	307
5	12	0.00352	2.45	4.43	36	37	27	36.2	36.7	26.6	424	36	36	27	293
4	11	0.00624	2.21	4.46	41	19	25	41.6	19.4	25.1	390	41	19	25	278
3	11	0.00624	2.21	3.98	21	38	23	20.5	35.2	23.5	365	21	36	23	314
2	9	0.0206	1.69	4.33	15	37	23	15	36.6	23	481	15	37	23	331
1	9	0.0206	1.69	5.65	42	5	15	42.1	4.94	14.9	412	42	4	15	294
