Cluster Index	Voxels	P	-log10(P)	Z-MAX	Z-MAX X (mm)	Z-MAX Y (mm)	Z-MAX Z (mm)	Z-COG X (mm)	Z-COG Y (mm)	Z-COG Z (mm)	COPE-MAX	COPE-MAX X (mm)	COPE-MAX Y (mm)	COPE-MAX Z (mm)	COPE-MEAN
27	293	5.45e-36	35.3	6.98	45.6	-64.7	-17.6	40.6	-71.4	-16.7	775	37.6	-83.8	-26.1	330
26	256	8.73e-33	32.1	7.38	-43.2	-81.4	-0.689	-42	-75.8	-14.8	876	-52.4	-76.4	-15.6	339
25	138	2.7e-21	20.6	5.7	-27.9	-45.7	35.5	-35.2	-52	44.3	751	-21.5	-65.9	60.8	319
24	51	2.31e-10	9.64	5.15	-37.4	-11.8	61.4	-36.8	-15.8	61.2	831	-31.3	-11.2	66.3	402
23	44	2.83e-09	8.55	4.95	-25.1	56.6	-18.6	-26.5	57.4	-14.7	1.02e+03	-34.6	56.1	-18.9	469
22	41	8.61e-09	8.07	4.58	32.6	-48.3	37.8	33.1	-51.6	38.1	415	32.6	-48.3	37.8	286
21	23	1.39e-05	4.86	5.82	-56.7	-26.7	14.2	-55.7	-26	14.6	710	-59.6	-27	9.39	400
20	21	3.52e-05	4.45	4.74	23	53.2	-21.4	19.9	55.8	-19.4	522	23	53.2	-21.4	352
19	20	5.65e-05	4.25	4.36	-9.99	-31.5	-26.5	2.68	-29.2	-29.8	630	15.5	-33	-25.5	356
18	20	5.65e-05	4.25	3.98	10.3	2.6	43.1	6.39	4.31	42.6	422	7.1	2.42	43	312
17	18	0.000149	3.83	4.64	35.4	-7.51	63.7	39	-6.23	59.4	821	35.4	-7.51	63.7	458
16	15	0.000687	3.16	4.1	-42.3	-7.2	22.9	-40.4	-5.4	26	391	-36.2	-6.69	27.9	308
15	15	0.000687	3.16	4.49	16	-70.7	-56.2	15.4	-67.7	-55	325	12.6	-70.8	-51.6	244
14	15	0.000687	3.16	4.32	-29.6	-41.7	68.4	-33.6	-42.3	66.1	770	-32.8	-41.9	68.3	478
13	14	0.00117	2.93	4.93	-30.2	-95.6	10.2	-32.6	-90.3	12	482	-30.2	-95.6	10.2	301
12	13	0.00201	2.7	4.68	-50.9	-8.33	3.73	-52.4	-3.98	2.3	485	-57.7	3.32	-2.02	360
11	13	0.00201	2.7	3.73	-2.68	22.6	22.4	-0.598	22.7	28.2	400	0.258	22.9	27.2	304
10	12	0.00352	2.45	3.9	62.6	-50.5	10.5	60.2	-48	11.8	314	62.6	-50.5	10.5	260
9	12	0.00352	2.45	4.51	55.7	-7.27	35.9	53.4	-5.09	38.3	491	55.6	-4.23	35.7	377
8	12	0.00352	2.45	3.94	17.8	-78.5	-17.7	16	-77.2	-20.2	456	17.8	-78.5	-17.7	346
7	11	0.00624	2.21	4.3	-9.07	-18.1	5.85	-10.2	-21.2	5.64	434	-5.91	-17.9	5.95	289
6	11	0.00624	2.21	3.81	-1.11	-76.7	-23.2	-1.25	-78.3	-28.7	295	2.45	-79.7	-27.7	243
5	10	0.0112	1.95	4.5	-3.42	-29	35.2	-4.64	-29	36.6	505	-3.42	-29	35.2	389
4	9	0.0206	1.69	4.73	46.2	1.01	25.5	46.5	2	23.2	680	46.2	1.01	25.5	467
3	9	0.0206	1.69	4.06	36	-85.7	11.9	35.2	-84.3	13.3	337	30	-92.1	12.1	280
2	9	0.0206	1.69	4.16	0.771	-58.8	51.6	0.126	-57.2	48.8	650	-2.23	-62.1	51.7	429
1	8	0.0386	1.41	4	22	1.02	67.4	17.7	1.47	66.2	718	15.4	0.797	71.9	352
