Cluster Index	Z	x	y	z	
27	6.98	45	14	13
27	6.61	41	8	11
27	6.1	44	9	15
27	5.82	39	14	12
27	5.67	48	13	14
27	5.58	42	4	14
26	7.38	17	10	17
26	6.33	16	10	15
26	6.24	17	11	12
26	6.01	14	12	14
26	5.26	20	11	11
26	4.91	16	15	14
25	5.7	23	21	25
25	5.09	23	13	29
25	4.84	14	26	25
25	4.53	19	22	25
25	4.53	20	15	28
25	4.34	22	17	26
24	5.15	21	32	31
24	4.7	23	32	32
24	4.49	19	30	30
24	3.84	27	33	33
23	4.95	25	55	15
23	3.81	25	55	19
23	3.49	21	56	15
22	4.58	42	19	25
22	4.46	40	15	25
22	4.26	44	21	24
22	4.1	42	16	26
22	3.46	42	14	28
21	5.82	14	28	21
21	4.42	13	30	22
20	4.74	40	53	14
20	3.64	37	55	15
20	3.56	39	57	15
19	3.98	36	36	27
19	3.76	38	36	26
19	3.59	33	37	27
18	4.36	28	26	12
18	3.72	33	27	11
18	3.57	34	25	11
18	3.4	32	29	11
18	3.36	35	27	12
17	4.64	44	32	31
17	3.46	43	32	29
16	4.49	35	13	5
15	4.32	23	22	32
14	4.1	19	34	23
14	3.94	21	34	24
13	4.93	21	5	19
13	4.36	20	8	20
12	3.73	32	43	23
12	3.58	29	43	23
12	3.42	34	42	26
11	4.68	16	34	19
11	4	14	38	18
10	4.51	50	32	25
9	3.9	51	18	19
9	3.71	50	16	19
9	3.69	48	19	20
9	3.4	53	22	19
8	3.94	36	10	13
8	3.51	38	11	13
7	3.81	30	11	12
6	4.3	29	30	19
6	3.45	28	27	19
5	4.5	31	26	25
4	4.73	47	35	23
4	3.31	48	35	21
3	4.16	32	16	28
3	3.77	32	18	27
2	4.06	42	7	19
2	3.49	40	5	19
1	4	40	35	32
1	3.73	38	35	33
1	3.27	37	34	31
