Cluster Index	Z	x	y	z	
27	6.98	45.6	-64.7	-17.6
27	6.61	34.5	-84	-26.2
27	6.1	42.9	-79.8	-7.24
27	5.82	26.9	-65.9	-23
27	5.67	55.1	-67	-12.4
27	5.58	37.6	-95.5	-11.1
26	7.38	-43.2	-81.4	-0.689
26	6.33	-45.9	-81.9	-10.2
26	6.24	-42.3	-79.1	-24.5
26	6.01	-52.4	-76.4	-15.6
26	5.26	-32.5	-78.7	-29
26	4.91	-46.6	-66.9	-16
25	5.7	-27.9	-45.7	35.5
25	5.09	-27.4	-69.5	56
25	4.84	-57.2	-32.2	33.5
25	4.53	-40.7	-43.4	34.9
25	4.53	-37.1	-64.1	50.6
25	4.34	-30.6	-57.9	40.9
24	5.15	-37.4	-11.8	61.4
24	4.7	-31.3	-11.2	66.3
24	4.49	-43.2	-18.4	56.9
24	3.84	-19.1	-7.32	71.2
23	4.95	-25.1	56.6	-18.6
23	3.81	-26	57.2	0.302
23	3.49	-37.9	58.9	-19.2
22	4.58	32.6	-48.3	37.8
22	4.46	26.9	-60.8	38.4
22	4.26	38.8	-42	32.8
22	4.1	32.9	-57.3	43.1
22	3.46	32.8	-63.1	53
21	5.82	-56.7	-26.7	14.2
21	4.42	-60.4	-20.6	18.4
20	4.74	23	53.2	-21.4
20	3.64	12.9	58.8	-17.4
20	3.56	18.9	65.3	-17.6
19	4.36	-9.99	-31.5	-26.5
19	3.72	5.9	-27.6	-31
19	3.57	9.41	-33.5	-30.4
19	3.4	2.39	-21.7	-31.5
19	3.36	12	-27.1	-26
18	3.98	10.3	2.6	43.1
18	3.76	16.8	2.83	38.6
18	3.59	0.6	5.09	42.6
17	4.64	35.4	-7.51	63.7
17	3.46	32.7	-7.98	54.1
16	4.1	-42.3	-7.2	22.9
16	3.94	-36.2	-6.69	27.9
15	4.49	16	-70.7	-56.2
14	4.32	-29.6	-41.7	68.4
13	4.93	-30.2	-95.6	10.2
13	4.36	-34.1	-86.5	14.2
12	4.68	-50.9	-8.33	3.73
12	4	-57.7	3.32	-2.02
11	3.73	-2.68	22.6	22.4
11	3.58	-12.2	22	22.1
11	3.42	3.14	20.3	37
10	3.9	62.6	-50.5	10.5
10	3.71	59.8	-56.8	10.8
10	3.69	52.7	-47.9	14.7
10	3.4	68.3	-38	9.89
9	4.51	55.7	-7.27	35.9
8	3.94	17.8	-78.5	-17.7
8	3.51	24	-75.1	-17.7
7	4.3	-9.07	-18.1	5.85
7	3.45	-11.7	-27.4	6.37
6	3.81	-1.11	-76.7	-23.2
5	4.5	-3.42	-29	35.2
4	4.73	46.2	1.01	25.5
4	3.31	49.8	0.909	16.2
3	4.06	36	-85.7	11.9
3	3.49	30	-92.1	12.1
2	4.16	0.771	-58.8	51.6
2	3.77	0.657	-52.9	46.4
1	4	22	1.02	67.4
1	3.73	15.4	0.797	71.9
1	3.27	12.9	-2.72	62.6
