Cluster Index	Voxels	P	-log10(P)	Z-MAX	Z-MAX X (mm)	Z-MAX Y (mm)	Z-MAX Z (mm)	Z-COG X (mm)	Z-COG Y (mm)	Z-COG Z (mm)	COPE-MAX	COPE-MAX X (mm)	COPE-MAX Y (mm)	COPE-MAX Z (mm)	COPE-MEAN
34	1836	0	46.9	5.89	-40	-70	6	-35.9	-78.3	-1.45	401	-36	-88	0	231
33	1351	1.51e-38	37.8	5.78	48	-64	-10	39.5	-75.7	-1.08	408	54	-70	-2	220
32	1201	1.56e-35	34.8	6.46	-52	-2	-4	-31.4	-3.78	-0.581	414	-58	2	-2	220
31	1143	2.46e-34	33.6	6.59	42	0	10	38.8	2.93	-0.426	422	42	0	10	215
30	1098	2.16e-33	32.7	5.58	-44	-42	56	-35.7	-44.8	48.5	602	-28	-56	58	248
29	989	4.75e-31	30.3	7.08	-2	0	58	-2.3	7.15	48.8	640	-2	2	58	282
28	616	2.85e-22	21.5	5.86	32	-58	56	32.1	-52.1	49.1	421	40	-42	62	228
27	524	7.47e-20	19.1	5.4	66	-38	26	57.4	-47.6	12.9	396	60	-60	12	232
26	447	1.02e-17	17	5.54	30	-46	-24	29.6	-48.4	-22	413	30	-58	-18	225
25	350	7.64e-15	14.1	4.94	52	4	32	48.5	4.25	30.6	375	48	8	26	234
24	199	9.41e-10	9.03	4.79	-54	8	30	-52.8	5.76	28.6	366	-54	8	30	222
23	121	1.31e-06	5.88	4.24	8	-20	4	9.07	-17.3	4.04	327	8	-16	6	235
22	117	1.97e-06	5.71	4.22	0	-56	50	-1.33	-53.2	51.8	293	0	-56	58	228
21	112	3.28e-06	5.48	4.46	-8	-14	40	-9.18	-17.9	43.3	280	-8	-22	48	201
20	107	5.6e-06	5.25	4.27	-60	-34	28	-59	-37.9	26.2	281	-60	-40	22	219
19	106	6.2e-06	5.21	4.43	-64	-18	16	-61.6	-20.5	18.2	311	-64	-20	12	224
18	95	2.03e-05	4.69	5.6	62	-18	22	61.7	-20	21.1	370	62	-18	22	256
17	91	3.17e-05	4.5	4.61	-40	38	14	-39.4	37.3	14.2	296	-40	36	12	218
16	90	3.53e-05	4.45	4.38	-40	0	52	-39.4	-0.908	52	302	-38	0	52	214
15	88	4.43e-05	4.35	4.51	-46	-52	12	-45.6	-51.1	13.7	277	-46	-52	12	205
14	73	0.000253	3.6	3.95	28	42	24	29.7	40.7	27.6	386	34	44	34	214
13	62	0.000982	3.01	3.88	26	0	48	28.2	-1.16	46.4	226	26	0	48	193
12	62	0.000982	3.01	4.38	-6	34	18	-7.77	32.1	18.1	276	-6	34	18	202
11	60	0.00127	2.9	4.1	-36	-56	-30	-40.9	-57.7	-29.6	246	-36	-56	-30	195
10	52	0.00361	2.44	4.03	-38	34	38	-37.3	34	39.6	265	-38	34	38	199
9	50	0.00473	2.33	4.1	0	-82	-8	1.02	-79.7	-4.18	468	0	-82	-8	321
8	45	0.00943	2.03	4.18	-28	-52	-20	-27.8	-49.6	-19.9	226	-28	-52	-20	188
7	44	0.0109	1.96	4.04	-22	2	52	-26.1	-1.08	50.1	256	-22	2	52	202
6	44	0.0109	1.96	4.06	50	42	-4	47.7	42.5	-4.73	298	50	42	-4	222
5	40	0.0193	1.72	3.79	6	-32	28	0.423	-35.8	27.3	263	0	-38	26	221
4	36	0.0347	1.46	4.28	-32	-38	-28	-32.8	-36.4	-28.1	262	-32	-38	-28	199
3	35	0.0403	1.39	3.96	34	-56	-52	33.7	-54.2	-51.3	207	34	-56	-52	174
2	34	0.0469	1.33	4.64	-50	-52	-2	-51.1	-53.1	-0.68	256	-50	-52	-2	195
1	34	0.0469	1.33	4.82	-30	48	-12	-30	48	-12	335	-30	48	-12	241
