Cluster Index	Z	x	y	z	
15	5.44	-40	-80	0
15	5.31	-46	-82	-10
15	5.29	-52	-76	-14
15	5.26	-50	-58	-16
15	5.22	-58	-68	-12
15	4.06	-52	-72	-24
14	6.56	46	-64	-18
14	5	54	-68	-12
14	4.56	36	-52	-28
14	4.22	52	-58	-18
14	3.88	52	-56	-22
13	5.22	-24	-90	-18
13	5.19	-26	-76	-24
13	4.87	-24	-80	-20
13	4.83	-42	-78	-24
12	5.97	36	-80	-26
12	3.84	44	-74	-22
12	3.46	38	-92	-20
11	5.83	-50	-6	4
10	5.2	-56	-28	14
10	4.03	-60	-20	18
9	5.05	10	4	44
9	3.85	4	6	38
8	5.92	-52	-2	18
7	4.59	42	-80	-8
7	3.89	40	-88	-16
6	4.09	32	-48	38
6	3.65	38	-42	36
5	3.91	-38	-6	28
5	3.88	-36	0	22
4	4.17	-34	-46	44
4	3.9	-28	-46	36
4	3.21	-40	-52	44
3	4.6	-6	-2	52
3	4.03	4	-4	58
2	4.68	-56	-32	34
1	3.96	-58	-62	2
